id_data,data,ano,trimestre,mes,nome_mes,semana,dia_semana,is_fim_de_semana
1,2022-01-01,2022,1,1,January,52,Saturday,True
2,2022-01-02,2022,1,1,January,52,Sunday,True
3,2022-01-03,2022,1,1,January,1,Monday,False
4,2022-01-04,2022,1,1,January,1,Tuesday,False
5,2022-01-05,2022,1,1,January,1,Wednesday,False
6,2022-01-06,2022,1,1,January,1,Thursday,False
7,2022-01-07,2022,1,1,January,1,Friday,False
8,2022-01-08,2022,1,1,January,1,Saturday,True
9,2022-01-09,2022,1,1,January,1,Sunday,True
10,2022-01-10,2022,1,1,January,2,Monday,False
11,2022-01-11,2022,1,1,January,2,Tuesday,False
12,2022-01-12,2022,1,1,January,2,Wednesday,False
13,2022-01-13,2022,1,1,January,2,Thursday,False
14,2022-01-14,2022,1,1,January,2,Friday,False
15,2022-01-15,2022,1,1,January,2,Saturday,True
16,2022-01-16,2022,1,1,January,2,Sunday,True
17,2022-01-17,2022,1,1,January,3,Monday,False
18,2022-01-18,2022,1,1,January,3,Tuesday,False
19,2022-01-19,2022,1,1,January,3,Wednesday,False
20,2022-01-20,2022,1,1,January,3,Thursday,False
21,2022-01-21,2022,1,1,January,3,Friday,False
22,2022-01-22,2022,1,1,January,3,Saturday,True
23,2022-01-23,2022,1,1,January,3,Sunday,True
24,2022-01-24,2022,1,1,January,4,Monday,False
25,2022-01-25,2022,1,1,January,4,Tuesday,False
26,2022-01-26,2022,1,1,January,4,Wednesday,False
27,2022-01-27,2022,1,1,January,4,Thursday,False
28,2022-01-28,2022,1,1,January,4,Friday,False
29,2022-01-29,2022,1,1,January,4,Saturday,True
30,2022-01-30,2022,1,1,January,4,Sunday,True
31,2022-01-31,2022,1,1,January,5,Monday,False
32,2022-02-01,2022,1,2,February,5,Tuesday,False
33,2022-02-02,2022,1,2,February,5,Wednesday,False
34,2022-02-03,2022,1,2,February,5,Thursday,False
35,2022-02-04,2022,1,2,February,5,Friday,False
36,2022-02-05,2022,1,2,February,5,Saturday,True
37,2022-02-06,2022,1,2,February,5,Sunday,True
38,2022-02-07,2022,1,2,February,6,Monday,False
39,2022-02-08,2022,1,2,February,6,Tuesday,False
40,2022-02-09,2022,1,2,February,6,Wednesday,False
41,2022-02-10,2022,1,2,February,6,Thursday,False
42,2022-02-11,2022,1,2,February,6,Friday,False
43,2022-02-12,2022,1,2,February,6,Saturday,True
44,2022-02-13,2022,1,2,February,6,Sunday,True
45,2022-02-14,2022,1,2,February,7,Monday,False
46,2022-02-15,2022,1,2,February,7,Tuesday,False
47,2022-02-16,2022,1,2,February,7,Wednesday,False
48,2022-02-17,2022,1,2,February,7,Thursday,False
49,2022-02-18,2022,1,2,February,7,Friday,False
50,2022-02-19,2022,1,2,February,7,Saturday,True
51,2022-02-20,2022,1,2,February,7,Sunday,True
52,2022-02-21,2022,1,2,February,8,Monday,False
53,2022-02-22,2022,1,2,February,8,Tuesday,False
54,2022-02-23,2022,1,2,February,8,Wednesday,False
55,2022-02-24,2022,1,2,February,8,Thursday,False
56,2022-02-25,2022,1,2,February,8,Friday,False
57,2022-02-26,2022,1,2,February,8,Saturday,True
58,2022-02-27,2022,1,2,February,8,Sunday,True
59,2022-02-28,2022,1,2,February,9,Monday,False
60,2022-03-01,2022,1,3,March,9,Tuesday,False
61,2022-03-02,2022,1,3,March,9,Wednesday,False
62,2022-03-03,2022,1,3,March,9,Thursday,False
63,2022-03-04,2022,1,3,March,9,Friday,False
64,2022-03-05,2022,1,3,March,9,Saturday,True
65,2022-03-06,2022,1,3,March,9,Sunday,True
66,2022-03-07,2022,1,3,March,10,Monday,False
67,2022-03-08,2022,1,3,March,10,Tuesday,False
68,2022-03-09,2022,1,3,March,10,Wednesday,False
69,2022-03-10,2022,1,3,March,10,Thursday,False
70,2022-03-11,2022,1,3,March,10,Friday,False
71,2022-03-12,2022,1,3,March,10,Saturday,True
72,2022-03-13,2022,1,3,March,10,Sunday,True
73,2022-03-14,2022,1,3,March,11,Monday,False
74,2022-03-15,2022,1,3,March,11,Tuesday,False
75,2022-03-16,2022,1,3,March,11,Wednesday,False
76,2022-03-17,2022,1,3,March,11,Thursday,False
77,2022-03-18,2022,1,3,March,11,Friday,False
78,2022-03-19,2022,1,3,March,11,Saturday,True
79,2022-03-20,2022,1,3,March,11,Sunday,True
80,2022-03-21,2022,1,3,March,12,Monday,False
81,2022-03-22,2022,1,3,March,12,Tuesday,False
82,2022-03-23,2022,1,3,March,12,Wednesday,False
83,2022-03-24,2022,1,3,March,12,Thursday,False
84,2022-03-25,2022,1,3,March,12,Friday,False
85,2022-03-26,2022,1,3,March,12,Saturday,True
86,2022-03-27,2022,1,3,March,12,Sunday,True
87,2022-03-28,2022,1,3,March,13,Monday,False
88,2022-03-29,2022,1,3,March,13,Tuesday,False
89,2022-03-30,2022,1,3,March,13,Wednesday,False
90,2022-03-31,2022,1,3,March,13,Thursday,False
91,2022-04-01,2022,2,4,April,13,Friday,False
92,2022-04-02,2022,2,4,April,13,Saturday,True
93,2022-04-03,2022,2,4,April,13,Sunday,True
94,2022-04-04,2022,2,4,April,14,Monday,False
95,2022-04-05,2022,2,4,April,14,Tuesday,False
96,2022-04-06,2022,2,4,April,14,Wednesday,False
97,2022-04-07,2022,2,4,April,14,Thursday,False
98,2022-04-08,2022,2,4,April,14,Friday,False
99,2022-04-09,2022,2,4,April,14,Saturday,True
100,2022-04-10,2022,2,4,April,14,Sunday,True
101,2022-04-11,2022,2,4,April,15,Monday,False
102,2022-04-12,2022,2,4,April,15,Tuesday,False
103,2022-04-13,2022,2,4,April,15,Wednesday,False
104,2022-04-14,2022,2,4,April,15,Thursday,False
105,2022-04-15,2022,2,4,April,15,Friday,False
106,2022-04-16,2022,2,4,April,15,Saturday,True
107,2022-04-17,2022,2,4,April,15,Sunday,True
108,2022-04-18,2022,2,4,April,16,Monday,False
109,2022-04-19,2022,2,4,April,16,Tuesday,False
110,2022-04-20,2022,2,4,April,16,Wednesday,False
111,2022-04-21,2022,2,4,April,16,Thursday,False
112,2022-04-22,2022,2,4,April,16,Friday,False
113,2022-04-23,2022,2,4,April,16,Saturday,True
114,2022-04-24,2022,2,4,April,16,Sunday,True
115,2022-04-25,2022,2,4,April,17,Monday,False
116,2022-04-26,2022,2,4,April,17,Tuesday,False
117,2022-04-27,2022,2,4,April,17,Wednesday,False
118,2022-04-28,2022,2,4,April,17,Thursday,False
119,2022-04-29,2022,2,4,April,17,Friday,False
120,2022-04-30,2022,2,4,April,17,Saturday,True
121,2022-05-01,2022,2,5,May,17,Sunday,True
122,2022-05-02,2022,2,5,May,18,Monday,False
123,2022-05-03,2022,2,5,May,18,Tuesday,False
124,2022-05-04,2022,2,5,May,18,Wednesday,False
125,2022-05-05,2022,2,5,May,18,Thursday,False
126,2022-05-06,2022,2,5,May,18,Friday,False
127,2022-05-07,2022,2,5,May,18,Saturday,True
128,2022-05-08,2022,2,5,May,18,Sunday,True
129,2022-05-09,2022,2,5,May,19,Monday,False
130,2022-05-10,2022,2,5,May,19,Tuesday,False
131,2022-05-11,2022,2,5,May,19,Wednesday,False
132,2022-05-12,2022,2,5,May,19,Thursday,False
133,2022-05-13,2022,2,5,May,19,Friday,False
134,2022-05-14,2022,2,5,May,19,Saturday,True
135,2022-05-15,2022,2,5,May,19,Sunday,True
136,2022-05-16,2022,2,5,May,20,Monday,False
137,2022-05-17,2022,2,5,May,20,Tuesday,False
138,2022-05-18,2022,2,5,May,20,Wednesday,False
139,2022-05-19,2022,2,5,May,20,Thursday,False
140,2022-05-20,2022,2,5,May,20,Friday,False
141,2022-05-21,2022,2,5,May,20,Saturday,True
142,2022-05-22,2022,2,5,May,20,Sunday,True
143,2022-05-23,2022,2,5,May,21,Monday,False
144,2022-05-24,2022,2,5,May,21,Tuesday,False
145,2022-05-25,2022,2,5,May,21,Wednesday,False
146,2022-05-26,2022,2,5,May,21,Thursday,False
