id_venda,data,id_produto,id_cliente,quantidade,preco_unitario,desconto_pct,valor_total,canal
1,2023-04-06,9,1,2,48.48,0,96.96,Loja Física
2,2022-02-13,3,27,3,597.14,10,1612.28,Representante
3,2023-04-17,7,24,5,415.32,10,1868.94,Online
4,2022-01-15,8,41,3,512.39,0,1537.16,Representante
5,2022-05-01,9,31,3,48.29,0,144.86,Online
6,2022-03-06,3,36,7,613.53,0,4294.73,Online
7,2024-11-18,5,36,4,305.74,0,1222.95,Loja Física
8,2024-09-21,8,15,5,563.76,0,2818.82,Representante
9,2022-09-28,3,2,5,672.27,15,2857.14,Representante
10,2024-08-26,3,16,3,702.75,0,2108.26,Loja Física
11,2024-04-13,6,47,4,460.46,0,1841.82,Online
12,2022-07-18,8,12,9,453.83,15,3471.8,Loja Física
13,2023-12-27,7,25,6,399.59,5,2277.66,Loja Física
14,2024-08-14,10,43,4,79.94,15,271.79,Online
15,2022-07-21,2,23,6,271.01,0,1626.06,Loja Física
16,2023-11-26,8,31,8,482.52,0,3860.19,Online
17,2023-01-28,9,7,1,39.12,0,39.12,Representante
18,2024-07-07,4,8,4,1077.21,0,4308.83,Loja Física
19,2023-01-11,7,9,2,406.26,0,812.52,Loja Física
20,2023-05-27,6,49,2,371.37,0,742.75,Loja Física
21,2022-07-20,7,27,5,357.29,0,1786.46,Representante
22,2022-01-31,6,5,1,365.08,0,365.08,Online
23,2022-12-07,3,11,5,695.36,5,3302.94,Loja Física
24,2024-09-12,9,8,1,46.08,0,46.08,Loja Física
25,2022-05-01,9,37,2,41.92,0,83.84,Loja Física
26,2022-01-05,6,24,1,456.15,5,433.34,Loja Física
27,2024-07-20,4,38,2,1199.5,0,2399.0,Loja Física
28,2024-09-23,7,26,4,408.14,0,1632.56,Online
29,2023-08-31,10,32,8,89.73,0,717.85,Online
30,2022-05-05,3,28,3,625.53,15,1595.11,Loja Física
31,2022-04-28,2,45,2,289.16,0,578.32,Representante
32,2024-09-03,9,29,4,41.9,10,150.85,Representante
33,2022-11-19,2,41,4,272.01,0,1088.04,Representante
34,2022-06-14,1,14,2,4526.84,0,9053.68,Online
35,2022-05-20,9,45,2,45.45,15,77.27,Online
36,2024-04-06,9,32,3,47.54,0,142.63,Representante
37,2023-05-20,7,8,4,408.33,10,1470.01,Representante
38,2022-03-23,8,33,5,458.99,10,2065.47,Online
39,2024-05-08,8,46,2,474.9,15,807.33,Representante
40,2024-12-06,10,28,5,98.29,0,491.45,Loja Física
41,2023-02-23,8,35,1,453.94,15,385.85,Representante
42,2023-10-06,10,45,7,85.78,0,600.49,Loja Física
